record_no,evidence_status,workflow,run_id,run_number,run_attempt,event,status,conclusion,created_at_utc,updated_at_utc,head_branch,head_sha,actor,job_id,job_name,failed_step_number,failed_step_name,first_actual_error,error_source,run_url,job_coordinate
34,VERIFIED_TRUE,Python Package using Conda,30218756263,111,1,push,completed,failure,2026-07-26T20:20:20Z,2026-07-26T20:20:46Z,agent/open-source-upload-evidence-20260727,4b758ef9e7a9a73a451698ae2264508dc36575d8,ky46738-ops,89837361224,build-linux,5,Install dependencies,EnvironmentFileNotFound: /home/runner/work/welcome/welcome/environment.yml file not found,SAME_UNCHANGED_WORKFLOW_ROOT_AND_FAILED_STEP,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218756263,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218756263/job/89837361224
35,VERIFIED_TRUE,Python Package using Conda,30218757270,112,1,push,completed,failure,2026-07-26T20:20:21Z,2026-07-26T20:20:55Z,agent/open-source-upload-evidence-20260727,764c792601eaa5fb13247c02267a050d4ea48bd6,ky46738-ops,89837364332,build-linux,5,Install dependencies,EnvironmentFileNotFound: /home/runner/work/welcome/welcome/environment.yml file not found,SAME_UNCHANGED_WORKFLOW_ROOT_AND_FAILED_STEP,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218757270,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218757270/job/89837364332
36,VERIFIED_TRUE,Gatekeeper,30218757269,134,1,push,completed,failure,2026-07-26T20:20:21Z,2026-07-26T20:20:32Z,agent/open-source-upload-evidence-20260727,764c792601eaa5fb13247c02267a050d4ea48bd6,ky46738-ops,89837364285,verify,3,驗證 LKMini 公開種子,FAIL: 雜湊不一致：tools/verify_lkmini.py,LOCAL_GIT_TREE_REPLAY_CURRENT_EVIDENCE_BRANCH,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218757269,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218757269/job/89837364285
37,VERIFIED_TRUE,Gatekeeper,30218757247,133,1,pull_request,completed,failure,2026-07-26T20:20:21Z,2026-07-26T20:20:30Z,agent/open-source-upload-evidence-20260727,4b758ef9e7a9a73a451698ae2264508dc36575d8,ky46738-ops,89837364324,verify,3,驗證 LKMini 公開種子,FAIL: 雜湊不一致：tools/verify_lkmini.py,LOCAL_GIT_TREE_REPLAY_CURRENT_EVIDENCE_BRANCH,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218757247,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218757247/job/89837364324
38,VERIFIED_TRUE,PR #6,30218757675,95,1,dynamic,completed,success,2026-07-26T20:20:22Z,2026-07-26T20:21:28Z,refs/pull/6/head,764c792601eaa5fb13247c02267a050d4ea48bd6,ky46738-ops,,,,,,RUN_METADATA,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218757675,
39,VERIFIED_TRUE,PR #6,30218758810,96,1,dynamic,completed,success,2026-07-26T20:20:24Z,2026-07-26T20:21:20Z,refs/pull/6/head,22f1ef1cdde1fc6fedd9029786b939f5e964727d,ky46738-ops,,,,,,RUN_METADATA,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218758810,
40,VERIFIED_TRUE,Python Package using Conda,30218758660,113,1,push,completed,failure,2026-07-26T20:20:24Z,2026-07-26T20:20:49Z,agent/open-source-upload-evidence-20260727,22f1ef1cdde1fc6fedd9029786b939f5e964727d,ky46738-ops,89837368063,build-linux,5,Install dependencies,EnvironmentFileNotFound: /home/runner/work/welcome/welcome/environment.yml file not found,SAME_UNCHANGED_WORKFLOW_ROOT_AND_FAILED_STEP,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218758660,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218758660/job/89837368063
41,VERIFIED_TRUE,Gatekeeper,30218758653,135,1,push,completed,failure,2026-07-26T20:20:24Z,2026-07-26T20:20:32Z,agent/open-source-upload-evidence-20260727,22f1ef1cdde1fc6fedd9029786b939f5e964727d,ky46738-ops,89837368169,verify,3,驗證 LKMini 公開種子,FAIL: 雜湊不一致：tools/verify_lkmini.py,LOCAL_GIT_TREE_REPLAY_CURRENT_EVIDENCE_BRANCH,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218758653,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218758653/job/89837368169
42,VERIFIED_TRUE,Python Package using Conda,30218759651,114,1,push,completed,failure,2026-07-26T20:20:25Z,2026-07-26T20:21:04Z,agent/open-source-upload-evidence-20260727,1587c73e4c37dd7d810c313803d7d02f429ee564,ky46738-ops,89837370658,build-linux,5,Install dependencies,EnvironmentFileNotFound: /home/runner/work/welcome/welcome/environment.yml file not found,SAME_UNCHANGED_WORKFLOW_ROOT_AND_FAILED_STEP,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218759651,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218759651/job/89837370658
43,VERIFIED_TRUE,Gatekeeper,30218759635,137,1,push,completed,failure,2026-07-26T20:20:25Z,2026-07-26T20:20:35Z,agent/open-source-upload-evidence-20260727,1587c73e4c37dd7d810c313803d7d02f429ee564,ky46738-ops,89837370612,verify,3,驗證 LKMini 公開種子,FAIL: 雜湊不一致：tools/verify_lkmini.py,LOCAL_GIT_TREE_REPLAY_CURRENT_EVIDENCE_BRANCH,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218759635,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218759635/job/89837370612
